Security,FB US Equity                                                    ,
Start Date,5/1/2015 0:00,
End Date,5/14/2021 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
7/2/2020,233.42,30633620
7/1/2020,237.55,43399739
6/30/2020,227.07,33927068
6/29/2020,220.64,58514281
6/26/2020,216.08,76343939
6/25/2020,235.68,18704339
6/24/2020,234.02,20834904
6/23/2020,242.24,24017915
6/22/2020,239.22,18917782
6/19/2020,238.79,30081291
6/18/2020,235.94,15782452
6/17/2020,235.53,19578125
6/16/2020,235.65,15236691
6/15/2020,232.5,15340264
6/12/2020,228.58,22091387
6/11/2020,224.43,26708163
6/10/2020,236.73,20720709
6/9/2020,238.67,27462872
6/8/2020,231.4,15466499
6/5/2020,230.77,16750438
6/4/2020,226.29,17041481
6/3/2020,230.16,15380282
6/2/2020,232.72,20919018
6/1/2020,231.91,18223839
5/29/2020,225.09,23322476
5/28/2020,225.46,29423013
5/27/2020,229.14,34697553
5/26/2020,232.2,33178318
5/22/2020,234.91,33925564
5/21/2020,231.39,47782636
5/20/2020,229.97,50162875
5/19/2020,216.88,31843152
5/18/2020,213.19,20167443
5/15/2020,210.88,19383154
5/14/2020,206.81,17178947
5/13/2020,205.1,20684559
5/12/2020,210.1,14704647
5/11/2020,213.18,12911948
5/8/2020,212.35,12524048
5/7/2020,211.26,15151976
5/6/2020,208.47,21856963
5/5/2020,207.07,21071223
5/4/2020,205.26,19250673
5/1/2020,202.27,30415581
4/30/2020,204.71,46230116
4/29/2020,194.19,45954521
4/28/2020,182.91,21730986
4/27/2020,187.5,29197750
4/24/2020,190.07,28868528
4/23/2020,185.13,21426604
4/22/2020,182.28,33369931
4/21/2020,170.8,24850528
4/20/2020,178.24,16110664
4/17/2020,179.24,20974750
4/16/2020,176.25,23593229
4/15/2020,176.97,17423003
4/14/2020,178.17,21011815
4/13/2020,174.79,19355355
4/9/2020,175.19,23534287
4/8/2020,174.28,21664198
4/7/2020,168.83,31411919
4/6/2020,165.55,28453581
4/3/2020,154.18,25983317
4/2/2020,158.19,20886309
4/1/2020,159.6,19507559
3/31/2020,166.8,23676283
3/30/2020,165.95,22515225
3/27/2020,156.79,24879869
3/26/2020,163.34,26579021
3/25/2020,156.21,35184271
3/24/2020,160.98,30440369
3/23/2020,148.1,29830765
3/20/2020,149.73,32568398
3/19/2020,153.13,39862312
3/18/2020,146.96,37553136
3/17/2020,149.42,34255596
3/16/2020,146.01,39120419
3/13/2020,170.28,35028627
3/12/2020,154.47,43266335
